Product Name,Price,Original Prices,Discount rates
Balance Gourment Dalchini Cinnamon Flavored Green Coffe...,649,"1,000",35% off
Happilo Premium Dried Turkish Apricots,228,285,20% off
FARMUP Besan 1 Kg,330,499,33% off
Leonardo Extra Virgin Olive Oil Plastic Bottle,"1,127","1,649",31% off
Tang Orange Instant Drink Mix,182,210,13% off
FARMUP Jowar Flour 5 kG,900,"1,299",30% off
"Lipton Honey, Lemon Green Tea Bags Box",135,145,6% off
FARMUP Yellow Combo (Split),560,700,20% off
FARMUP Yellow Combo (Split),520,700,25% off
Ghasitaram Gifts Raisins-Selected Indian Raisins 800 gm...,499,650,23% off
Tang Mango Instant Drink Mix,199,210,5% off
"Tang ZERO SUGAR, sugar drink mix,Imported 6 packets, or...",799,999,20% off
"TGL Co. Ice Wine White Tea with White Downy White Tea, ...","1,078","1,198",10% off
TGL Co. Strawberry and Aloe White Tea with White Shou M...,"1,078","1,198",10% off
"Tang Orange Instant Drink Mix, 500g(Each)",264,270,2% off
TGL Co. Gunpowder Temple of Heaven Green Tea with The F...,"1,078","1,198",10% off
TGL Co. White Bud Yin Zhen White Tea White Tea Pouch,"2,518","2,798",10% off
TGL Co. Pearl of The Caribbean White Tea with White Sho...,"1,078","1,198",10% off
TGL Co. China Jasmine Green Tea for Stress Relief and R...,"1,078","1,198",10% off
"TGL Co. Geisha Green Tea with Green Bancha Tea, Green K...","1,078","1,198",10% off
Balance Instant 60 Sachets Stevia & LemonGrass Green Co...,499,750,33% off
"TGL Co. Orange & Mango Oolong Tea, 16 Tea Bags with Sem...",314,349,10% off
"TGL Co. Little Buddha Green Tea with Sandalwood, Red Pe...","1,078","1,198",10% off
Ray Healthy Cooking Spray -Refined Rice Bran OIL - 200 ...,500,598,16% off
Pintola Classic Peanut Butter (Crunchy) 1 kg,319,349,8% off
Onlyleaf Flavored Sampler Assorted Green Tea Bags Box,150,NaN,Nan
True Elements Roasted Sunflower Pumpkin And Flax Seeds ...,232,240,3% off
FARMUP Corn Flour : 1 KG + Jowar Flour : 1 KG,460,700,34% off
Saffola Total Pro Heart Conscious Blended Oil Can,175,NaN,Nan
Lipton Pure & Light Green Tea Bags Box,145,NaN,Nan
NutrineLife With the Mother Vinegar,499,899,44% off
Nestle Cerelac Wheat Cereal,185,NaN,Nan
Ghasitaram Gifts Mini Gujiya Namkeen 400 gms,345,451,23% off
Pintola All Natural Export Quality Peanut Butter (Crunc...,387,425,8% off
Balance Natural Diabetic & Keto friendly Sugar Free Swe...,149,200,25% off
FARMUP Yellow Combo (Split),560,700,20% off
FARMUP Almond | Premium Quality | Tasty |100% Pure and ...,850,"1,100",22% off
Happilo Premium Dried Supermix Assorted Fruit,637,730,12% off
FARMUP Rice Flour 500 g,210,399,47% off
Nescafe GOLD Blend Crafted With Arabica Ground 10 time ...,945,"1,299",27% off
Wnature Organic Roasted Arabica Coffee beans 1kg-100% P...,650,700,7% off
Bertolli Extra Virgin Olive Oil Plastic Bottle,349,699,50% off
Betty Crocker Triple Choco Brownie Mix 425 g,330,NaN,Nan
Ghasitaram Gifts Dryfruits- Dryfruit Box 800 gms,"1,439","1,599",10% off
Tang Orange Instant Drink Mix,182,210,13% off
Soft Art Celebrations Dried Ginger Candy Vaccum Pack Dr...,293,638,54% off
"VegeBaby 100% Natural, Cold-Pressed,Extra virgin Coconu...",559,NaN,Nan
Nescafe GOLD Origins Cap Colombia Instant Coffee,945,"1,299",27% off
Taj Mahal Tea Box,225,245,8% off
Markstor Fresh Rabia Dates of Saudi Arabia Dates,350,600,41% off
Tang Mango Instant Drink Mix,199,210,5% off
Nescafe Gold Espresso Italian Style Rich With Crema 100...,945,"1,299",27% off
Delight Nuts Dried Apricots 200g Apricots,271,279,2% off
Onlyleaf 100% Natural Weightloss Cinnamon Clove Hibiscu...,261,275,5% off
"Tang Orange Instant Drink Mix, 500g(Each)",264,270,2% off
SUN'A'DO California Almonds - 200g Almonds,339,349,2% off
Ghasitaram Gifts Mini Gujiya Namkeen 800 gms,625,651,3% off
VegeBaby First Cold Pressed Black Sesame Oil Plastic Bo...,699,NaN,Nan
Delight Nuts Mixed Nut Roasted & Salted 200g Assorted N...,387,399,3% off
