Product Name,Price,Original Prices,Discount rates
"LuvLap Baby Moisturising Wipes with Aloe Vera,72 Wipes/...",255,345,26% off
Nestle Cerelac Rice Vegetables Cereal,235,NaN,Nan
Johnson's Baby Hair Oil,207,230,10% off
MamyPoko Pants Standard Diapers - S,191,195,2% off
Huggies Dry pants Medium - M,297,349,14% off
Miss & Chief Baby Playpen Bassinet,"2,999","4,499",33% off
Johnson's Baby No More Tears Shampoo Baby Boys & Baby G...,163,165,1% off
Little Angel Baby Diaper Pants (2 x 56 Pcs) - M,880,"1,398",37% off
Himalaya Total Care Baby Pants CMB(M) 4NX28'S - M,"1,040","1,600",35% off
Pampers Baby-Dry Pants Diaper - New Born,891,"1,049",15% off
Mamaearth Daily Moisturizing Lotion (400 ml) …,351,399,12% off
Nestle Nestum Rice (Stage 1) Cereal,137,NaN,Nan
MamyPoko Pants Extra Absorb Diapers - New Born,277,299,7% off
Himalaya Gentle Baby Laundry Wash 500 ml (Pouch) Liquid...,196,245,20% off
MamyPoko Pants Extra Absorb Diapers - XXL,255,275,7% off
"Mamaearth Complete Baby Care Kit with Baby Lotion, Sham...",979,"1,195",18% off
Nestle Cerelac Wheat Honey Dates Cereal,242,NaN,Nan
Huggies Wonder pants - XL,"1,407","1,599",12% off
Pampers Baby Taped Diapers - M,849,999,15% off
Pampers Active Baby Diapers - New Born,972,999,2% off
Vasundhara Mart 12 Pics Chuchu M Bath Toy,299,599,50% off
Huggies Dry pants- XL - XL,293,349,16% off
"Sebamed Baby Lotion, 400ml","1,094","1,183",7% off
Aptamil Infant Formula (Stage 1),705,NaN,Nan
Johnson's Baby Soap with Baby Lotion & Vitamin E,58,NaN,Nan
Pampers Baby-Dry Pants Diaper - S,934,"1,099",15% off
"Lifekrafts Baby Silicone Finger Toothbrush , Baby Finge...",128,199,35% off
"Mamaearth Natural Anti Mosquito Body Roll On, 40ml (Pac...",182,198,8% off
Pampers Premium Care Pants - XS,275,299,8% off
Pampers Baby-Dry Pants Diaper - M,618,699,11% off
Always Sporty BABY POOL 2FT,284,999,71% off
MamyPoko Pants - M,977,999,2% off
Pampers Active Baby Diapers - M,"1,034","1,049",1% off
Huggies Wonder Pants - M,234,275,14% off
Huggies Ultra soft - XS,529,630,16% off
